stock_code,code,name,sector,industry,market,crawl_time,data_sources,current_price,volume,roe,eps,revenue_growth_annual,revenue_growth_monthly,pe_ratio,market_cap,dividend_yield,data_quality
1310.TW,1310,台苯,Basic Materials,Others,上市,2025-05-27T23:44:58.389494,"[{'source': 'TWSE_API', 'price': 8.89, 'volume': 486676, 'success': True}]",145.0,486676.0,7.79,8.38,27.62,2.01,17.3,3713710264.0,5.96,Real + Estimated
1312.TW,1312,國喬,Basic Materials,Others,上市,2025-05-27T23:45:04.427314,"[{'source': 'TWSE_API', 'price': 10.5, 'volume': 2262638, 'success': True}]",76.1,2262638.0,18.64,8.69,24.34,0.65,8.76,929715520.0,1.23,Real + Estimated
1313.TW,1313,聯成,Basic Materials,Others,上市,2025-05-27T23:45:10.504709,"[{'source': 'TWSE_API', 'price': 8.32, 'volume': 937636, 'success': True}]",149.0,937636.0,5.47,13.06,27.05,1.07,11.41,3713221706.0,1.67,Real + Estimated
1314.TW,1314,中石化,Basic Materials,Others,上市,2025-05-27T23:45:16.596926,"[{'source': 'TWSE_API', 'price': 7.04, 'volume': 10947466, 'success': True}]",104.3,10947466.0,18.26,12.8,-2.35,1.69,8.15,3081307505.0,2.62,Real + Estimated
1315.TW,1315,達新,Basic Materials,Others,上市,2025-05-27T23:45:22.645382,"[{'source': 'TWSE_API', 'price': 66.5, 'volume': 12220, 'success': True}]",44.4,12220.0,17.67,5.11,29.1,4.42,8.69,639829287.0,4.26,Real + Estimated
1316.TW,1316,上曜,Basic Materials,Others,上市,2025-05-27T23:45:28.683914,"[{'source': 'TWSE_API', 'price': 14.85, 'volume': 5936248, 'success': True}]",39.1,5936248.0,17.98,8.97,7.81,0.19,4.36,1250361087.0,3.57,Real + Estimated
1319.TW,1319,東陽,Basic Materials,Others,上市,2025-05-27T23:46:34.725567,"[{'source': 'TWSE_API', 'price': 132.5, 'volume': 1815469, 'success': True}]",101.1,1815469.0,6.02,8.29,7.82,2.58,12.2,2500876092.0,0.52,Real + Estimated
1321.TW,1321,大洋,Basic Materials,Others,上市,2025-05-27T23:46:40.771926,"[{'source': 'TWSE_API', 'price': 37.1, 'volume': 184230, 'success': True}]",48.9,184230.0,6.68,9.24,1.21,0.03,5.29,2062335648.0,2.09,Real + Estimated
1323.TW,1323,永裕,Basic Materials,Others,上市,2025-05-27T23:46:46.809694,"[{'source': 'TWSE_API', 'price': 20.7, 'volume': 16246, 'success': True}]",46.0,16246.0,9.41,8.15,18.21,1.35,5.64,792234636.0,1.18,Real + Estimated
1324.TW,1324,地球,Basic Materials,Others,上市,2025-05-27T23:46:52.857800,"[{'source': 'TWSE_API', 'price': 11.45, 'volume': 56478, 'success': True}]",148.8,56478.0,16.23,8.12,5.45,2.13,18.33,4955471864.0,0.45,Real + Estimated
1325.TW,1325,恆大,Basic Materials,Others,上市,2025-05-27T23:46:58.905361,"[{'source': 'TWSE_API', 'price': 32.85, 'volume': 1853541, 'success': True}]",125.2,1853541.0,11.41,2.69,8.28,1.1,46.54,1400413183.0,2.64,Real + Estimated
1326.TW,1326,台化,Basic Materials,Others,上市,2025-05-27T23:47:04.947458,"[{'source': 'TWSE_API', 'price': 24.3, 'volume': 10110421, 'success': True}]",127.1,10110421.0,7.82,12.15,-6.79,0.98,10.46,3830787284.0,5.12,Real + Estimated
1337.TW,1337,再生,Basic Materials,Others,上市,2025-05-27T23:47:10.995673,"[{'source': 'TWSE_API', 'price': 6.31, 'volume': 255061, 'success': True}]",54.1,255061.0,7.38,5.62,7.06,-0.13,9.63,1404858075.0,1.57,Real + Estimated
1338.TW,1338,廣華,Basic Materials,Others,上市,2025-05-27T23:47:17.036770,"[{'source': 'TWSE_API', 'price': 24.55, 'volume': 38029, 'success': True}]",99.1,38029.0,19.64,2.52,24.73,1.6,39.33,2031113543.0,1.72,Real + Estimated
1339.TW,1339,昭輝,Basic Materials,Others,上市,2025-05-27T23:47:23.075950,"[{'source': 'TWSE_API', 'price': 51.8, 'volume': 24197, 'success': True}]",57.5,24197.0,8.46,13.73,-1.69,-1.29,4.19,754054162.0,0.48,Real + Estimated
1340.TW,1340,勝悅,Basic Materials,Others,上市,2025-05-27T23:47:29.116629,"[{'source': 'TWSE_API', 'price': 7.21, 'volume': 110482, 'success': True}]",144.7,110482.0,16.68,3.57,17.54,0.76,40.53,5167067780.0,4.24,Real + Estimated
