stock_code,name,current_price,ROE,EPS,年營收成長率,月營收成長率,market_cap,sector,industry,data_sources
1220.TW,台榮,14.2,18.0,0.82,17.5,14.5,14200000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1225.TW,福懋油,29.65,18.0,1.84,0.45,0.55,29650000000,Industrials,Manufacturing,['TWSTOCK']
1229.TW,聯華,45.25,15.0,2.92,8.53,10.72,45250000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1231.TW,聯華食,137.0,15.0,9.62,16.81,18.65,137000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1232.TW,大統益,165.0,12.0,15.43,3.67,4.36,165000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1233.TW,天仁,32.5,15.0,2.6,11.17,8.49,32500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1234.TW,黑松,41.3,12.0,2.53,17.12,14.56,41300000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1235.TW,興泰,64.9,18.0,4.07,16.87,13.12,64900000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1236.TW,宏亞,22.7,12.0,1.53,15.51,12.63,22700000000,Industrials,Manufacturing,['TWSTOCK']
1262.TW,綠悠遊,,15.0,2.39,15.28,14.52,686053758222,Industrials,Manufacturing,['ESTIMATED']
1264.TW,德麥,,15.0,2.72,2.84,3.48,247333407209,Industrials,Manufacturing,['ESTIMATED']
1301.TW,台塑,34.7,15.0,3.04,6.15,7.82,34700000000,Basic Materials,Chemicals,"['TWSTOCK', 'TWSE_API']"
1303.TW,南亞,28.65,15.0,1.86,15.77,16.05,28650000000,Basic Materials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1304.TW,台聚,9.67,18.0,0.95,9.71,10.48,9670000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1305.TW,華夏,10.8,18.0,0.76,6.87,7.67,10800000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1307.TW,三芳,38.5,18.0,2.15,1.23,1.28,38500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1308.TW,亞聚,12.05,18.0,0.72,2.7,3.43,12050000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1309.TW,台達化,11.7,18.0,0.67,0.33,0.35,11700000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1310.TW,台苯,8.4,18.0,0.48,9.38,7.5,8400000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1312.TW,國喬,10.55,18.0,1.05,13.12,11.24,10550000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1313.TW,聯成,8.22,15.0,0.48,0.74,0.57,8220000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1314.TW,中石化,6.92,18.0,0.63,7.59,5.68,6920000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1315.TW,達新,66.8,12.0,4.43,11.14,11.68,66800000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1316.TW,上曜,14.75,18.0,1.09,13.17,16.78,14750000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1319.TW,東陽,130.5,15.0,9.38,11.68,10.48,130500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1321.TW,大洋,36.75,15.0,2.56,13.57,16.29,36750000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1323.TW,永裕,20.8,18.0,1.5,10.34,9.71,20800000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1324.TW,地球,11.5,15.0,1.02,15.62,17.83,11500000000,Industrials,Manufacturing,['TWSTOCK']
1325.TW,恆大,39.7,18.0,3.15,0.63,0.48,39700000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1326.TW,台化,23.95,15.0,1.67,2.27,1.96,23950000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1337.TW,再生,6.35,18.0,0.37,0.62,0.58,6350000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1338.TW,廣華,23.9,15.0,1.53,1.39,1.11,23900000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1339.TW,昭輝,51.9,18.0,4.16,13.41,14.36,51900000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1340.TW,勝悅,7.18,18.0,0.48,12.53,15.37,7180000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1341.TW,富林,68.5,15.0,4.75,3.81,4.34,68500000000,Industrials,Manufacturing,['TWSTOCK']
1434.TW,福懋,16.25,15.0,1.47,14.74,12.34,16250000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1436.TW,華友聯,119.0,18.0,9.75,12.12,9.63,119000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1437.TW,勤益控,32.95,15.0,2.18,17.04,19.71,32950000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1438.TW,裕豐,42.85,18.0,2.86,0.14,0.11,42850000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1439.TW,中和,31.35,12.0,1.92,5.33,4.77,31350000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1440.TW,南紡,13.65,18.0,1.18,10.96,11.92,13650000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1441.TW,大東,12.7,15.0,0.98,10.61,9.51,12700000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1442.TW,名軒,70.5,15.0,5.48,7.91,8.77,70500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1443.TW,立益,31.1,12.0,2.0,0.68,0.87,31100000000,Industrials,Manufacturing,['TWSTOCK']
1444.TW,力麗,7.09,15.0,0.49,12.29,12.92,7090000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1445.TW,大宇,15.8,18.0,1.31,0.63,0.63,15800000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1446.TW,宏和,26.6,18.0,1.73,7.98,6.95,26600000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1447.TW,力鵬,6.26,15.0,0.53,2.07,1.78,6260000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1449.TW,佳和,13.6,18.0,0.8,13.59,11.65,13600000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1451.TW,年興,20.0,18.0,1.15,17.95,16.94,20000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1452.TW,宏益,12.45,15.0,1.24,0.55,0.41,12450000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1453.TW,大將,15.0,18.0,0.84,5.96,5.29,15000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1454.TW,台富,15.55,15.0,0.93,0.97,1.17,15550000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1455.TW,集盛,9.43,15.0,0.6,8.25,8.69,9430000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1456.TW,怡華,13.2,18.0,0.95,16.53,19.9,13200000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1457.TW,宜進,17.75,15.0,1.63,16.11,16.45,17750000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1459.TW,聯發,11.5,15.0,0.68,17.9,15.7,11500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1460.TW,宏遠,7.29,15.0,0.71,15.6,15.76,7290000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1463.TW,強盛,21.95,18.0,1.54,4.01,2.96,21950000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1464.TW,得力,13.65,18.0,1.08,9.04,9.2,13650000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1465.TW,偉全,13.85,12.0,0.86,0.57,0.55,13850000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1466.TW,聚隆,18.1,18.0,1.45,17.36,19.25,18100000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1467.TW,南緯,8.52,18.0,0.56,2.73,2.14,8520000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1468.TW,昶和,14.3,15.0,0.86,16.31,13.2,14300000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1469.TW,聯聚,,15.0,1.59,5.42,6.88,240562635562,Industrials,Manufacturing,['ESTIMATED']
1470.TW,大統新創,24.0,15.0,2.04,15.2,15.36,24000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1471.TW,首利,11.05,18.0,1.07,10.34,12.85,11050000000,Industrials,Manufacturing,['TWSTOCK']
1472.TW,三洋紡,97.6,18.0,5.72,3.3,3.04,97600000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1473.TW,台南,30.0,18.0,1.75,6.34,4.71,30000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1474.TW,弘裕,12.8,15.0,0.8,12.22,14.94,12800000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1475.TW,本盟,45.6,18.0,2.56,2.87,2.24,45600000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1476.TW,儒鴻,431.5,18.0,30.01,14.96,12.82,431500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1477.TW,聚陽,276.0,18.0,22.75,13.87,15.84,276000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1503.TW,士電,179.0,18.0,12.3,3.3,2.69,179000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1504.TW,東元,52.7,15.0,3.78,7.03,8.12,52700000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1506.TW,正道,11.8,15.0,0.8,3.29,3.78,11800000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1507.TW,永大,,15.0,1.93,0.1,0.11,494613789670,Industrials,Manufacturing,['ESTIMATED']
1512.TW,瑞利,7.88,18.0,0.57,12.92,14.98,7880000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1513.TW,中興電,151.5,18.0,9.39,4.92,5.77,151500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1514.TW,亞力,107.5,18.0,6.89,12.64,9.71,107500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1515.TW,力山,30.4,18.0,2.91,16.66,21.36,30400000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1516.TW,川飛,22.1,18.0,1.39,12.29,12.24,22100000000,Industrials,Manufacturing,['TWSTOCK']
1517.TW,利奇,11.35,18.0,0.76,2.75,3.53,11350000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1519.TW,華城,459.5,18.0,28.32,7.38,6.8,459500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1521.TW,大億,28.85,15.0,2.43,14.99,15.79,28850000000,Industrials,Manufacturing,['TWSTOCK']
1522.TW,堤維西,46.85,18.0,3.06,3.8,4.46,46850000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1524.TW,耿鼎,31.5,18.0,1.9,4.87,4.3,31500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1525.TW,江申,65.0,12.0,5.3,16.31,16.68,65000000000,Industrials,Manufacturing,['TWSTOCK']
1526.TW,日馳,22.3,18.0,1.75,1.64,2.02,22300000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1527.TW,鑽全,37.9,18.0,2.6,15.85,18.75,37900000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1528.TW,恩德,13.55,18.0,0.85,4.96,4.54,13550000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1529.TW,樂士,29.15,18.0,1.64,11.06,12.56,29150000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1530.TW,亞崴,32.3,15.0,1.99,6.32,4.53,32299999999,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1531.TW,高林股,12.8,15.0,1.27,8.64,6.06,12800000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1532.TW,勤美,26.05,18.0,2.21,11.79,12.79,26050000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1533.TW,車王電,28.9,18.0,1.74,3.77,3.56,28900000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1535.TW,中宇,56.8,15.0,4.85,17.88,17.88,56800000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1536.TW,和大,60.9,18.0,5.89,0.78,0.72,60900000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1537.TW,廣隆,144.5,15.0,13.2,13.77,15.0,144500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1538.TW,正峰新,28.0,15.0,1.78,14.14,11.68,28000000000,Industrials,Manufacturing,['TWSTOCK']
1539.TW,巨庭,18.85,18.0,1.47,14.98,10.61,18850000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1540.TW,喬友,30.3,18.0,1.96,16.47,16.5,30300000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1541.TW,錩泰,27.2,18.0,1.92,9.64,9.42,27200000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1558.TW,伸興,96.9,15.0,5.58,13.22,15.82,96900000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1560.TW,中砂,281.5,18.0,27.05,3.15,2.32,281500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1568.TW,倉佑,23.85,18.0,1.81,10.55,7.8,23850000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1582.TW,信錦,77.5,18.0,5.94,10.97,12.31,77500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1583.TW,程泰,59.1,18.0,3.94,5.87,4.64,59100000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1587.TW,吉茂,29.8,18.0,2.24,16.19,15.31,29800000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1589.TW,永冠,27.25,18.0,2.66,14.31,12.35,27250000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1590.TW,亞德客,933.0,18.0,61.52,11.75,10.67,933000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1592.TW,英瑞,,15.0,1.94,2.55,3.0,481357891425,Industrials,Manufacturing,['ESTIMATED']
1593.TW,祺驊,,15.0,1.45,1.42,1.28,573966387888,Industrials,Manufacturing,['ESTIMATED']
1598.TW,岱宇,22.7,18.0,1.64,16.5,15.73,22700000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1603.TW,華電,37.4,18.0,2.67,7.27,5.58,37400000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1604.TW,聲寶,26.4,12.0,1.52,3.17,3.16,26400000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1605.TW,華新,21.7,18.0,1.68,15.08,11.7,21700000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1608.TW,華榮,24.1,18.0,1.63,11.6,13.3,24100000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1609.TW,大亞,37.75,18.0,2.26,3.62,4.37,37750000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1611.TW,中電,14.0,18.0,1.04,3.1,2.69,14000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1612.TW,宏泰,33.25,15.0,2.18,5.85,5.75,33250000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1614.TW,三洋電,39.25,12.0,3.19,2.04,1.7,39250000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1615.TW,大山,52.3,15.0,4.34,13.4,16.99,52300000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1616.TW,億泰,26.6,18.0,1.55,15.87,19.79,26600000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1617.TW,榮星,16.65,18.0,1.42,6.14,5.13,16649999999,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1701.TW,中化,,15.0,2.94,15.55,18.07,393065552407,Industrials,Manufacturing,['ESTIMATED']
1702.TW,南僑,47.05,15.0,3.62,17.76,14.25,47050000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1707.TW,葡萄王,134.5,12.0,9.54,15.53,15.43,134500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1708.TW,東鹼,33.45,18.0,2.16,17.08,21.63,33450000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1709.TW,和益,18.2,18.0,1.26,2.73,3.55,18200000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1710.TW,東聯,13.25,18.0,0.82,1.58,1.59,13250000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1711.TW,永光,17.7,18.0,1.05,10.68,8.95,17700000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1712.TW,興農,42.95,15.0,3.06,0.51,0.55,42950000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1713.TW,國化,53.7,15.0,3.7,2.2,1.84,53700000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1714.TW,和桐,7.92,15.0,0.68,17.92,18.46,7920000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1717.TW,長興,25.95,15.0,1.71,12.37,13.38,25950000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1718.TW,中纖,6.66,18.0,0.52,0.84,0.82,6660000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1720.TW,生達,58.6,15.0,3.78,12.03,12.13,58600000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1721.TW,三晃,12.15,18.0,0.71,0.16,0.18,12150000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1722.TW,台肥,52.2,15.0,4.14,11.79,15.12,52200000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1723.TW,中碳,95.1,12.0,7.05,1.12,1.3,95100000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1724.TW,台硝,,15.0,2.3,6.76,8.44,417868525704,Industrials,Manufacturing,['ESTIMATED']
1725.TW,元禎,30.8,18.0,2.6,6.73,7.23,30800000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1726.TW,永記,77.3,12.0,7.1,8.71,10.47,77300000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1727.TW,中華化,24.0,18.0,2.23,15.39,12.26,24000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1730.TW,花仙子,57.4,12.0,4.41,12.18,9.79,57400000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1731.TW,美吾華,22.95,15.0,2.05,5.94,4.95,22950000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1732.TW,毛寶,31.3,18.0,2.15,0.18,0.23,31300000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1733.TW,五鼎,30.8,15.0,2.46,11.76,14.11,30800000000,Industrials,Manufacturing,['TWSTOCK']
1734.TW,杏輝,33.0,15.0,3.18,4.78,5.51,33000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1735.TW,日勝化,17.15,18.0,1.29,3.05,2.85,17149999999,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1736.TW,喬山,149.0,18.0,8.61,14.79,18.07,149000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1737.TW,臺鹽,32.8,12.0,1.86,9.74,8.1,32799999999,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1760.TW,寶齡富錦,81.8,18.0,7.91,11.76,10.36,81800000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1762.TW,中化生,29.25,18.0,2.6,12.15,8.58,29250000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1773.TW,勝一,151.0,18.0,10.71,10.2,9.68,151000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1776.TW,展宇,17.85,15.0,1.34,14.61,12.64,17850000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1777.TW,生泰,,15.0,1.68,1.73,2.17,419041107227,Industrials,Manufacturing,['ESTIMATED']
1783.TW,和康生,43.4,18.0,3.27,0.36,0.44,43400000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1786.TW,科妍,96.2,18.0,8.71,9.5,7.27,96200000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1789.TW,神隆,16.95,18.0,1.39,8.82,8.76,16950000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
1795.TW,美時,234.5,18.0,13.46,14.74,11.67,234500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2002.TW,中鋼,19.75,15.0,1.11,2.13,1.5,19750000000,Basic Materials,Steel,"['TWSTOCK', 'TWSE_API']"
2006.TW,東和鋼鐵,64.5,15.0,4.7,10.99,11.5,64500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2007.TW,燁興,8.1,18.0,0.56,6.39,7.27,8100000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2008.TW,高興昌,25.05,15.0,1.69,13.86,17.03,25050000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2009.TW,第一銅,32.95,18.0,2.04,3.66,4.46,32950000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2010.TW,春源,20.0,15.0,1.8,7.89,8.47,20000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2012.TW,春雨,20.85,18.0,1.47,11.61,14.8,20850000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2013.TW,中鋼構,43.85,15.0,2.84,11.56,10.35,43850000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2014.TW,中鴻,15.75,18.0,1.07,14.2,16.88,15750000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2015.TW,豐興,63.1,18.0,4.14,13.16,9.86,63100000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2017.TW,官田鋼,9.96,18.0,0.69,11.38,14.68,9960000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2020.TW,美亞,28.5,18.0,2.37,13.47,11.68,28500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2022.TW,聚亨,8.14,18.0,0.48,10.76,8.01,8140000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2023.TW,燁輝,15.2,15.0,1.43,0.23,0.22,15200000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2024.TW,志聯,17.35,15.0,0.98,4.37,4.44,17350000000,Industrials,Manufacturing,['TWSTOCK']
2025.TW,千興,14.5,18.0,1.07,4.47,4.95,14500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2027.TW,大成鋼,35.55,18.0,2.38,2.36,2.29,35550000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2028.TW,威致,18.15,18.0,1.05,17.39,20.47,18150000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2029.TW,盛餘,24.1,15.0,1.66,3.23,3.09,24100000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2030.TW,彰源,15.3,18.0,0.99,9.72,11.56,15300000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2031.TW,新光鋼,41.8,18.0,2.86,6.89,7.51,41800000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2032.TW,新鋼,15.55,18.0,0.91,10.4,11.07,15550000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2033.TW,佳大,17.9,15.0,1.07,17.72,20.26,17900000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2034.TW,允強,23.05,18.0,2.08,13.01,16.46,23050000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2038.TW,海光,16.15,18.0,1.06,16.12,16.07,16149999999,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2049.TW,上銀,224.5,18.0,18.88,6.35,6.28,224500000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2059.TW,川湖,2050.0,18.0,176.96,15.92,14.52,2050000000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2069.TW,運錩,16.4,18.0,0.92,16.17,16.43,16399999999,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
2101.TW,南港,39.25,18.0,2.38,6.58,5.05,39250000000,Industrials,Manufacturing,"['TWSTOCK', 'TWSE_API']"
